Book Name,Author,Rating,Customers_Rated,Price
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"14,607",₹ 119.00
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.5 out of 5 stars,"1,132",₹ 149.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"3,514",₹ 499.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"1,549",₹ 660.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.5 out of 5 stars,"2,056",₹ 419.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"17,057",₹ 125.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"11,204",₹ 145.00
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,911,₹ 119.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6 out of 5 stars,"15,651",₹ 425.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.2 out of 5 stars,"1,593",₹ 250.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.4 out of 5 stars,"8,888",₹ 284.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Various,4.6 out of 5 stars,179,₹ 399.00
How to Win Friends and Influence People,Dale Carnegie,4.6 out of 5 stars,"16,187",₹ 119.00
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,922,₹ 263.00
1001 Activities Book,Dreamland Publications,4.4 out of 5 stars,"1,014",₹ 280.00
25 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2019),Disha Experts,4.3 out of 5 stars,"1,325",₹ 290.00
"Dear Stranger, I Know How You Feel",Ashish Bagrecha,4.6 out of 5 stars,"1,252",₹ 199.00
A Brief History of Modern India (2019-2020 Edition) by  Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"1,234",₹ 395.00
The Alchemist,Paulo Coelho,4.7 out of 5 stars,"23,008",₹ 330.00
Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5 out of 5 stars,"15,335",₹ 349.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,391,₹ 275.00
Grandma's Bag of Stories,Sudha Murty,4.5 out of 5 stars,"1,489",₹ 225.00
Lines and Curves (Pattern Writing) - Part 1,Dreamland Publications,4.4 out of 5 stars,637,₹ 80.00
The Immortals of Meluha (Shiva Trilogy),Amish,4.6 out of 5 stars,"4,773",₹ 250.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"4,813",₹ 619.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"1,185",₹ 194.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"3,661",₹ 234.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.4 out of 5 stars,"2,490",₹ 291.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,"2,679",₹ 200.00
Peppa Pig: Little Library (3 to 6 years),Peppa Pig,4.2 out of 5 stars,"4,348",₹ 240.00
Mathematics for Class 10 by R D Sharma (Examination 2020-2021),R.D. Sharma,4.6 out of 5 stars,80,₹ 450.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"3,618",₹ 237.50
"Indian Economy for Civil Services, Universities and Other Examinations (11th edition)",Ramesh Singh,4.3 out of 5 stars,738,₹ 489.00
The Monk Who Sold His Ferrari,Robin Sharma,4.6 out of 5 stars,"6,222",₹ 205.00
The Prophet,Kahlil Gibran,4.4 out of 5 stars,"1,252",₹ 99.00
How to Prepare for Quantitative Aptitude for the CAT,Arun Sharma,4.4 out of 5 stars,919,₹ 895.00
Wuthering Heights,Emily Brontë,4.3 out of 5 stars,"3,721",₹ 99.00
The Silent Patient,Alex Michaelides,4.5 out of 5 stars,"11,583",₹ 265.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.4 out of 5 stars,"6,559",₹ 649.00
101 Maze Activity Book: Fun Activity Book For Children,Wonder House Books Editorial,4.2 out of 5 stars,103,₹ 168.00
Environment By Shankar (7th) Revised Edition (2019-2020 Session),Shankar,4.3 out of 5 stars,"1,976",₹ 240.00
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"7,374",₹ 399.00
The Diary of a Young Girl,Anne Frank,4.5 out of 5 stars,"4,633",₹ 174.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"8,402",₹ 379.00
Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,4.7 out of 5 stars,"4,320",₹ 263.00
Harry Potter Box Set: The Complete Collection (Children’s Paperback) (Set of  7 Volumes),J.K. Rowling,4.6 out of 5 stars,"6,451","₹ 2,422.00"
Bhagvad gita as it is english new edition,His Divine Grace A.C. Bhaktivedanta,4.7 out of 5 stars,"1,156",₹ 250.00
World Map,Dreamland Publications,4.5 out of 5 stars,"2,400",₹ 98.00
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"4,685",₹ 156.00
